ZipCode,Longitude,Latitude
60411,-87.5904,41.5087
60412,-87.6356,41.5061
60415,-87.7774,41.7017
60601,-87.6181,41.8858
60602,-87.6321,41.8829
60603,-87.6285,41.8798
60604,-87.633,41.8785
60605,-87.6277,41.8713
60606,-87.6386,41.8868
60607,-87.6578,41.8721
60608,-87.6694,41.8515
60609,-87.6533,41.8097
60610,-87.6336,41.9033
60611,-87.6223,41.8971
60612,-87.6873,41.8805
60613,-87.6575,41.9543
60614,-87.6483,41.9229
60615,-87.6006,41.8022
60616,-87.6306,41.8426
60617,-87.556,41.7257
60618,-87.7042,41.9464
60619,-87.6054,41.7458
60620,-87.6543,41.7411
60621,-87.6421,41.775
60622,-87.6779,41.9019
60623,-87.7157,41.849
60624,-87.7223,41.8804
60625,-87.7042,41.9703
60626,-87.6689,42.0095
60628,-87.6243,41.6934
60629,-87.7069,41.7781
60630,-87.7603,41.9699
60631,-87.8082,41.9951
60632,-87.7052,41.8093
60633,-87.5612,41.6642
60634,-87.8061,41.9463
60636,-87.6674,41.776
60637,-87.6051,41.7813
60638,-87.7705,41.7814
60639,-87.7535,41.9202
60640,-87.6624,41.9719
60641,-87.7474,41.9453
60642,-87.6528,41.9008
60643,-87.6628,41.6996
60644,-87.7582,41.8829
60645,-87.6947,42.0086
60646,-87.7596,41.993
60647,-87.7043,41.9209
60649,-87.5703,41.762
60651,-87.7393,41.9025
60652,-87.7135,41.7454
60653,-87.6126,41.8196
60654,-87.6373,41.8923
60655,-87.7038,41.6948
60656,-87.8658,41.9735
60657,-87.6528,41.9399
60659,-87.7166,41.9972
60660,-87.6629,41.9909
60661,-87.643,41.8814
60664,-87.6873,41.8119
60666,-87.6501,41.85
60668,-87.6873,41.8119
60669,-87.6873,41.8119
60670,-87.6873,41.8119
60673,-87.6873,41.8119
60674,-87.6873,41.8119
60675,-87.6873,41.8119
60677,-87.6873,41.8119
60678,-87.6873,41.8119
60680,-87.6873,41.8119
60681,-87.6873,41.8119
60682,-87.685,41.837
60684,-87.6873,41.8119
60685,-87.6873,41.8119
60686,-87.6378,41.8756
60687,-87.6873,41.8119
60688,-87.6688,41.8724
60689,-87.6353,41.8745
60690,-87.6873,41.8119
60691,-87.6873,41.8119
60693,-87.6501,41.85
60694,-87.6873,41.8119
60695,-87.6317,41.8839
60696,-87.6649,41.8684
60697,-87.6873,41.8119
60699,-87.6873,41.8119
60701,-87.6873,41.8119
60185,-88.2022,41.8886
60186,-88.204,41.8848
60064,-87.8564,42.3247
60086,-87.7766,42.4333
